"","y","mean","fD","H","ac3","ac8","ac15","Delta","Theta","Alpha","Beta","Gamma","variance"
"1",4,-16.9101123595506,1.62449086490779,0.708833707318836,0.414235051958892,-0.166470704463922,0.404784777637279,64.1251830526329,1226.86649452044,6208.4275678488,50332.0082745609,14701.4837109313,9212.34215704945
"2",1,28.1123595505618,1.34395440121736,0.721836685828135,0.676474376350396,0.155722809945767,-0.181836178306756,143.050814409642,23862.8039353325,277066.52155891,775456.95963011,1549229.23822755,223886.834761633
"3",5,-44.0449438202247,1.55254102302878,0.744544639928608,0.524435363213799,-0.0225905456423542,0.098238472363392,10.2349768995164,417.50393685333,2750.35004902016,8536.49773426429,7955.80915656961,1963.46689519457
"4",5,-68.9101123595506,1.50901364748786,0.767901144257376,0.401980180290782,-0.027311739391132,0.106045476280715,8.06275413820596,64.8673875506131,659.432125580487,1155.41842013825,395.896574312006,254.997524281089
"5",5,-6.65168539325843,1.42884329880387,0.84429348732374,0.28527816645111,0.31066793123274,0.280199219553179,10.8729206994764,728.163244482116,3578.8329536958,3680.39596534715,2008.33831545883,1505.60680505301
"6",5,14.4887640449438,1.62449086490779,0.872734250686042,0.65145739392636,0.221470860040073,0.678239251065532,7.59163626620688,211.315672063233,2150.09557247085,8275.51259380029,4272.41561120119,2408.95185044119
"7",4,13.9887640449438,1.69187770463767,0.589339798676444,0.420307499806453,-0.672845393942974,0.408853430065755,5.90853833802302,224.571060652415,4312.85277993038,32198.8197461282,1001.57780195931,4233.62699168412
"8",2,-32.5449438202247,1.4594316186373,0.876632020726747,0.914771377822236,0.680525636840942,0.296204221952308,4.38451425139436,18.3571531766632,222.013809220355,958.491802605697,8233.34804227794,1384.54316638101
"9",1,-31.685393258427,1.58496250072116,0.738900798425482,0.667583726819371,-0.155374859156387,-0.453483249403485,6.61268966636688,1545.22663969356,17149.638289916,59061.3130445304,346210.584636921,23173.0643052117
"10",4,4.03370786516854,1.64769825606912,0.673420625817778,0.291352435768725,-0.189339181521878,0.0934895592754017,7.02496596187225,132.276975756475,3056.74055726232,5623.29076172492,1205.41075580326,947.151399733384
"11",5,-23.4831460674157,1.65711228647699,0.611156003198081,0.159874463867228,-0.248177823497196,-0.0248244593792679,10.3686127012047,503.791377881599,2468.0606566473,6806.16557784165,4388.4619191354,1230.13813241922
"12",1,43.4775280898876,1.46948528330122,0.740395888366677,0.71572640385432,0.00698665895057696,-0.32464962215233,11.6132965125015,1905.9395654393,54171.2131212443,299332.694685665,1224046.57391566,88938.420396115
"13",3,-59.9550561797753,1.39854937649027,0.909325234558957,0.853349399666945,0.609227533171148,0.356686989816711,36.5611330626773,439.904528888526,2313.60522124425,7974.0869740242,26553.616490752,6751.3990985844
